id,title,city,locality,property_type,bhk,area_sqft,bathrooms,furnishing,parking,rent,latitude,longitude
210,3 BHK Apartment in Avanti Vihar,Raipur,Avanti Vihar,Apartment,3,1561,3,Unfurnished,Yes,26700,21.242254,81.643339
211,2 BHK Apartment in Telibandha,Raipur,Telibandha,Apartment,2,836,1,Semi-Furnished,Yes,17100,21.246195,81.665518
212,2 BHK Apartment in Naya Raipur,Raipur,Naya Raipur,Apartment,2,802,2,Unfurnished,Yes,14000,21.159529,81.77942
213,4 BHK Apartment in Kohka,Bhilai,Kohka,Apartment,4,2069,4,Semi-Furnished,Yes,15000,21.210118,81.387526
214,2 BHK Independent House in Sarona,Raipur,Sarona,Independent House,2,781,2,Semi-Furnished,Yes,12300,21.230693,81.596798
215,2 BHK Apartment in Supela,Bhilai,Supela,Apartment,2,1121,2,Semi-Furnished,Yes,8900,21.199543,81.313528
216,1 BHK Apartment in Maitri Nagar,Bhilai,Maitri Nagar,Apartment,1,594,1,Furnished,No,9600,21.186426,81.351277
217,2 BHK Apartment in Devendra Nagar,Raipur,Devendra Nagar,Apartment,2,1007,2,Furnished,Yes,22800,21.251211,81.644759
218,2 BHK Apartment in Sector 7,Bhilai,Sector 7,Apartment,2,765,2,Furnished,Yes,9400,21.19918,81.337154
219,3 BHK Independent House in Naya Raipur,Raipur,Naya Raipur,Independent House,3,1671,3,Semi-Furnished,Yes,34300,21.164047,81.781412
220,2 BHK Apartment in Kabir Nagar,Raipur,Kabir Nagar,Apartment,2,1086,1,Unfurnished,Yes,16400,21.248085,81.623686
221,4 BHK Apartment in Sector 7,Bhilai,Sector 7,Apartment,4,1858,4,Unfurnished,No,19000,21.196822,81.344518
222,2 BHK Apartment in Power House,Bhilai,Power House,Apartment,2,1161,1,Semi-Furnished,Yes,10400,21.210408,81.314661
223,3 BHK Apartment in Maitri Nagar,Bhilai,Maitri Nagar,Apartment,3,1685,3,Furnished,Yes,27100,21.184875,81.34419
224,2 BHK Apartment in Magneto Mall Area,Raipur,Magneto Mall Area,Apartment,2,915,2,Semi-Furnished,No,17900,21.247902,81.658843
225,2 BHK Apartment in Magneto Mall Area,Raipur,Magneto Mall Area,Apartment,2,1134,2,Furnished,Yes,24700,21.247295,81.647192
226,4 BHK Apartment in Smriti Nagar,Bhilai,Smriti Nagar,Apartment,4,1731,3,Unfurnished,No,10900,21.215786,81.377431
227,2 BHK Apartment in Civic Centre,Bhilai,Civic Centre,Apartment,2,914,1,Semi-Furnished,Yes,11600,21.184576,81.290476
228,2 BHK Apartment in Avanti Vihar,Raipur,Avanti Vihar,Apartment,2,890,1,Semi-Furnished,Yes,16000,21.242395,81.650054
229,2 BHK Apartment in Shankar Nagar,Raipur,Shankar Nagar,Apartment,2,1087,2,Unfurnished,No,20100,21.246789,81.630229
230,2 BHK Apartment in Sector 5,Bhilai,Sector 5,Apartment,2,1074,2,Semi-Furnished,No,9900,21.188639,81.345123
231,2 BHK Apartment in Telibandha,Raipur,Telibandha,Apartment,2,1142,2,Semi-Furnished,No,24700,21.245545,81.65612
232,2 BHK Apartment in Charoda,Bhilai,Charoda,Apartment,2,1155,1,Unfurnished,No,6500,21.230264,81.416279
233,2 BHK Apartment in Mowa,Raipur,Mowa,Apartment,2,987,2,Furnished,Yes,19800,21.270523,81.688795
234,3 BHK Independent House in Telibandha,Raipur,Telibandha,Independent House,3,1524,3,Semi-Furnished,Yes,35600,21.233189,81.665515
235,3 BHK Apartment in Junwani,Bhilai,Junwani,Apartment,3,1374,2,Furnished,Yes,13800,21.224197,81.361749
236,2 BHK Independent House in Smriti Nagar,Bhilai,Smriti Nagar,Independent House,2,804,2,Semi-Furnished,Yes,6900,21.216434,81.373822
237,3 BHK Independent House in Telibandha,Raipur,Telibandha,Independent House,3,1727,3,Furnished,No,42300,21.237247,81.657456
238,2 BHK Apartment in Kabir Nagar,Raipur,Kabir Nagar,Apartment,2,1151,2,Semi-Furnished,Yes,21100,21.245304,81.623762
239,4 BHK Apartment in Katora Talab,Raipur,Katora Talab,Apartment,4,2012,4,Semi-Furnished,Yes,30800,21.240652,81.615877
240,2 BHK Independent House in Saddu,Raipur,Saddu,Independent House,2,811,1,Semi-Furnished,Yes,14700,21.276659,81.668804
241,2 BHK Apartment in Power House,Bhilai,Power House,Apartment,2,914,2,Semi-Furnished,Yes,8500,21.214945,81.324245
242,4 BHK Apartment in Junwani,Bhilai,Junwani,Apartment,4,2110,4,Unfurnished,Yes,18200,21.210442,81.363997
243,1 BHK Apartment in Shankar Nagar,Raipur,Shankar Nagar,Apartment,1,643,1,Unfurnished,Yes,13800,21.252943,81.627756
244,3 BHK Apartment in Devendra Nagar,Raipur,Devendra Nagar,Apartment,3,1270,3,Unfurnished,No,21000,21.249897,81.635529
245,1 BHK Apartment in Vidhan Sabha Road,Raipur,Vidhan Sabha Road,Apartment,1,613,1,Unfurnished,Yes,12500,21.262589,81.608486
246,2 BHK Apartment in Risali,Bhilai,Risali,Apartment,2,1050,2,Furnished,No,15700,21.184377,81.357271
247,3 BHK Apartment in Katora Talab,Raipur,Katora Talab,Apartment,3,1617,3,Unfurnished,Yes,21800,21.239718,81.628817
248,4 BHK Apartment in Telibandha,Raipur,Telibandha,Apartment,4,1724,4,Furnished,Yes,46800,21.242627,81.668701
249,2 BHK Apartment in Katora Talab,Raipur,Katora Talab,Apartment,2,1144,2,Semi-Furnished,Yes,18800,21.240768,81.629652
250,2 BHK Apartment in Magneto Mall Area,Raipur,Magneto Mall Area,Apartment,2,937,2,Semi-Furnished,Yes,20600,21.241943,81.656026
251,2 BHK Independent House in Charoda,Bhilai,Charoda,Independent House,2,856,2,Semi-Furnished,Yes,6000,21.236067,81.410675
252,4 BHK Apartment in Junwani,Bhilai,Junwani,Apartment,4,1795,4,Semi-Furnished,Yes,16800,21.219554,81.359372
253,2 BHK Apartment in Sector 7,Bhilai,Sector 7,Apartment,2,1025,2,Semi-Furnished,Yes,11500,21.197474,81.343193
254,3 BHK Apartment in Sarona,Raipur,Sarona,Apartment,3,1775,3,Unfurnished,Yes,22200,21.228871,81.595096
255,2 BHK Apartment in Smriti Nagar,Bhilai,Smriti Nagar,Apartment,2,1101,1,Furnished,Yes,11200,21.204164,81.380836
256,2 BHK Apartment in Shanti Nagar,Bhilai,Shanti Nagar,Apartment,2,1030,2,Unfurnished,No,7500,21.193743,81.359983
257,2 BHK Apartment in Shankar Nagar,Raipur,Shankar Nagar,Apartment,2,807,1,Unfurnished,Yes,14300,21.255251,81.630326
258,2 BHK Apartment in Devendra Nagar,Raipur,Devendra Nagar,Apartment,2,1195,2,Semi-Furnished,Yes,25100,21.244598,81.645115
259,1 BHK Apartment in Civic Centre,Bhilai,Civic Centre,Apartment,1,618,1,Semi-Furnished,Yes,7700,21.192309,81.281662
260,2 BHK Apartment in Pandri,Raipur,Pandri,Apartment,2,1002,1,Unfurnished,Yes,16700,21.255736,81.64259
261,3 BHK Apartment in Junwani,Bhilai,Junwani,Apartment,3,1714,3,Semi-Furnished,Yes,16400,21.212348,81.362862
262,3 BHK Independent House in Smriti Nagar,Bhilai,Smriti Nagar,Independent House,3,1176,2,Semi-Furnished,Yes,9400,21.214615,81.385317
263,2 BHK Independent House in Sarona,Raipur,Sarona,Independent House,2,792,2,Semi-Furnished,Yes,14500,21.235981,81.605017
264,2 BHK Apartment in Smriti Nagar,Bhilai,Smriti Nagar,Apartment,2,1169,2,Furnished,No,10400,21.209802,81.372016
265,2 BHK Apartment in Avanti Vihar,Raipur,Avanti Vihar,Apartment,2,805,1,Semi-Furnished,No,14800,21.243564,81.645373
266,2 BHK Apartment in Mowa,Raipur,Mowa,Apartment,2,802,1,Semi-Furnished,Yes,13600,21.270018,81.695136
267,1 BHK Apartment in Saddu,Raipur,Saddu,Apartment,1,530,1,Semi-Furnished,Yes,9000,21.280168,81.661874
268,2 BHK Apartment in Kabir Nagar,Raipur,Kabir Nagar,Apartment,2,1119,2,Semi-Furnished,Yes,17900,21.244907,81.614959
269,2 BHK Apartment in Magneto Mall Area,Raipur,Magneto Mall Area,Apartment,2,874,2,Unfurnished,Yes,16100,21.246264,81.655876
270,4 BHK Apartment in Risali,Bhilai,Risali,Apartment,4,2355,4,Semi-Furnished,Yes,29300,21.180674,81.357374
271,2 BHK Independent House in Sarona,Raipur,Sarona,Independent House,2,1189,2,Furnished,Yes,24700,21.229317,81.592845
272,3 BHK Independent House in Smriti Nagar,Bhilai,Smriti Nagar,Independent House,3,1434,3,Unfurnished,Yes,10300,21.213479,81.379855
273,2 BHK Independent House in Naya Raipur,Raipur,Naya Raipur,Independent House,2,944,2,Unfurnished,Yes,15100,21.157932,81.784759
274,2 BHK Independent House in Magneto Mall Area,Raipur,Magneto Mall Area,Independent House,2,1156,1,Semi-Furnished,Yes,27400,21.239405,81.661004
275,2 BHK Apartment in Civil Lines,Raipur,Civil Lines,Apartment,2,956,1,Semi-Furnished,Yes,20200,21.252218,81.609944
276,4 BHK Apartment in Naya Raipur,Raipur,Naya Raipur,Apartment,4,1937,4,Semi-Furnished,No,36000,21.16251,81.783807
277,3 BHK Independent House in Devendra Nagar,Raipur,Devendra Nagar,Independent House,3,1246,3,Semi-Furnished,Yes,27000,21.258283,81.640644
278,3 BHK Apartment in Maitri Nagar,Bhilai,Maitri Nagar,Apartment,3,1364,3,Unfurnished,Yes,16200,21.195906,81.349115
279,3 BHK Independent House in Nehru Nagar,Bhilai,Nehru Nagar,Independent House,3,1539,3,Unfurnished,Yes,15100,21.200201,81.357072
280,3 BHK Independent House in Naya Raipur,Raipur,Naya Raipur,Independent House,3,1542,3,Unfurnished,Yes,29900,21.16441,81.780313
281,1 BHK Apartment in Kabir Nagar,Raipur,Kabir Nagar,Apartment,1,545,1,Unfurnished,Yes,9500,21.243165,81.612737
282,2 BHK Apartment in Shanti Nagar,Bhilai,Shanti Nagar,Apartment,2,1102,1,Semi-Furnished,Yes,8500,21.196586,81.366989
283,2 BHK Apartment in Telibandha,Raipur,Telibandha,Apartment,2,1139,2,Semi-Furnished,No,22000,21.23441,81.65381
284,3 BHK Independent House in Avanti Vihar,Raipur,Avanti Vihar,Independent House,3,1142,3,Semi-Furnished,Yes,24600,21.228702,81.648921
285,3 BHK Apartment in Kachna,Raipur,Kachna,Apartment,3,1454,3,Unfurnished,No,24700,21.261415,81.657563
286,2 BHK Apartment in Power House,Bhilai,Power House,Apartment,2,769,2,Semi-Furnished,No,6800,21.215877,81.318349
287,3 BHK Independent House in Kohka,Bhilai,Kohka,Independent House,3,1308,3,Unfurnished,Yes,9400,21.213316,81.393242
288,1 BHK Independent House in Maitri Nagar,Bhilai,Maitri Nagar,Independent House,1,542,1,Unfurnished,No,7000,21.189885,81.342352
289,4 BHK Apartment in Sector 9,Bhilai,Sector 9,Apartment,4,2093,3,Semi-Furnished,Yes,23500,21.184893,81.325404
290,2 BHK Apartment in Civil Lines,Raipur,Civil Lines,Apartment,2,1033,2,Unfurnished,Yes,21500,21.2527,81.614547
291,2 BHK Apartment in Maitri Nagar,Bhilai,Maitri Nagar,Apartment,2,1026,2,Unfurnished,Yes,11800,21.190995,81.348655
292,3 BHK Independent House in Shanti Nagar,Bhilai,Shanti Nagar,Independent House,3,1109,3,Semi-Furnished,No,10400,21.199072,81.364729
293,3 BHK Apartment in Supela,Bhilai,Supela,Apartment,3,1738,3,Unfurnished,No,14500,21.19903,81.315783
294,3 BHK Apartment in Saddu,Raipur,Saddu,Apartment,3,1767,3,Semi-Furnished,Yes,34300,21.272608,81.673775
295,2 BHK Apartment in Telibandha,Raipur,Telibandha,Apartment,2,944,2,Semi-Furnished,No,18500,21.236463,81.666072
296,4 BHK Independent House in Sector 9,Bhilai,Sector 9,Independent House,4,1720,3,Semi-Furnished,No,19800,21.180419,81.338004
297,2 BHK Apartment in Mowa,Raipur,Mowa,Apartment,2,1150,2,Unfurnished,Yes,18100,21.268994,81.699291
298,1 BHK Apartment in Magneto Mall Area,Raipur,Magneto Mall Area,Apartment,1,574,1,Furnished,No,13400,21.24142,81.656755
299,3 BHK Apartment in Sector 9,Bhilai,Sector 9,Apartment,3,1265,3,Unfurnished,Yes,13300,21.182556,81.331202
300,1 BHK Apartment in Kohka,Bhilai,Kohka,Apartment,1,489,1,Unfurnished,Yes,3600,21.20729,81.399869
301,1 BHK Apartment in Magneto Mall Area,Raipur,Magneto Mall Area,Apartment,1,526,1,Unfurnished,Yes,9300,21.246301,81.660679
302,2 BHK Apartment in Magneto Mall Area,Raipur,Magneto Mall Area,Apartment,2,1064,1,Unfurnished,Yes,18000,21.239473,81.648062
303,2 BHK Independent House in Saddu,Raipur,Saddu,Independent House,2,1044,2,Semi-Furnished,Yes,17700,21.265734,81.665996
304,3 BHK Apartment in Avanti Vihar,Raipur,Avanti Vihar,Apartment,3,1561,3,Furnished,No,32000,21.238436,81.651954
305,2 BHK Independent House in Supela,Bhilai,Supela,Independent House,2,909,2,Furnished,Yes,10400,21.189247,81.311608
306,2 BHK Apartment in Katora Talab,Raipur,Katora Talab,Apartment,2,874,1,Unfurnished,Yes,13000,21.238407,81.617962
307,2 BHK Apartment in Sector 7,Bhilai,Sector 7,Apartment,2,1025,2,Semi-Furnished,Yes,10800,21.188507,81.331
308,2 BHK Independent House in Supela,Bhilai,Supela,Independent House,2,1079,2,Furnished,No,10600,21.189091,81.311634
309,4 BHK Apartment in Telibandha,Raipur,Telibandha,Apartment,4,1921,4,Semi-Furnished,Yes,38500,21.244441,81.653527
310,1 BHK Apartment in Kabir Nagar,Raipur,Kabir Nagar,Apartment,1,523,1,Semi-Furnished,Yes,9600,21.252294,81.610704
311,4 BHK Independent House in Saddu,Raipur,Saddu,Independent House,4,1692,4,Semi-Furnished,No,32100,21.266056,81.675345
312,3 BHK Independent House in Vidhan Sabha Road,Raipur,Vidhan Sabha Road,Independent House,3,1507,3,Furnished,Yes,33300,21.251537,81.614757
313,2 BHK Independent House in Magneto Mall Area,Raipur,Magneto Mall Area,Independent House,2,1034,2,Unfurnished,Yes,22100,21.243411,81.659648
314,4 BHK Apartment in Kohka,Bhilai,Kohka,Apartment,4,1855,4,Semi-Furnished,Yes,12400,21.212792,81.391883
315,2 BHK Independent House in Maitri Nagar,Bhilai,Maitri Nagar,Independent House,2,814,1,Unfurnished,Yes,9400,21.195361,81.343166
316,2 BHK Apartment in Shankar Nagar,Raipur,Shankar Nagar,Apartment,2,1103,2,Semi-Furnished,Yes,22800,21.257794,81.628824
317,1 BHK Apartment in Mowa,Raipur,Mowa,Apartment,1,642,1,Semi-Furnished,No,11700,21.268511,81.686092
318,3 BHK Apartment in Civil Lines,Raipur,Civil Lines,Apartment,3,1588,3,Furnished,Yes,39100,21.251221,81.611703
319,3 BHK Independent House in Avanti Vihar,Raipur,Avanti Vihar,Independent House,3,1666,3,Furnished,Yes,38100,21.23576,81.647106
320,2 BHK Apartment in Devendra Nagar,Raipur,Devendra Nagar,Apartment,2,1113,2,Semi-Furnished,Yes,19800,21.259776,81.647807
321,3 BHK Apartment in Sector 5,Bhilai,Sector 5,Apartment,3,1624,3,Semi-Furnished,No,16200,21.189014,81.344187
322,3 BHK Apartment in Devendra Nagar,Raipur,Devendra Nagar,Apartment,3,1521,3,Unfurnished,Yes,26700,21.25483,81.641163
323,1 BHK Apartment in Sector 9,Bhilai,Sector 9,Apartment,1,674,1,Unfurnished,Yes,7300,21.188107,81.32651
324,2 BHK Independent House in Vidhan Sabha Road,Raipur,Vidhan Sabha Road,Independent House,2,1029,2,Furnished,No,20300,21.248081,81.610195
325,1 BHK Apartment in Vidhan Sabha Road,Raipur,Vidhan Sabha Road,Apartment,1,600,1,Furnished,Yes,12600,21.251431,81.607348
326,1 BHK Apartment in Saddu,Raipur,Saddu,Apartment,1,506,1,Unfurnished,Yes,8000,21.267596,81.664888
327,2 BHK Independent House in Charoda,Bhilai,Charoda,Independent House,2,898,1,Semi-Furnished,Yes,6800,21.229005,81.41031
328,2 BHK Apartment in Sector 5,Bhilai,Sector 5,Apartment,2,1016,1,Semi-Furnished,Yes,9300,21.189339,81.337614
329,3 BHK Apartment in Shankar Nagar,Raipur,Shankar Nagar,Apartment,3,1448,3,Unfurnished,No,24600,21.249479,81.627344
330,4 BHK Apartment in Nehru Nagar,Bhilai,Nehru Nagar,Apartment,4,2376,3,Furnished,Yes,23900,21.19072,81.349803
331,2 BHK Apartment in Magneto Mall Area,Raipur,Magneto Mall Area,Apartment,2,1047,1,Semi-Furnished,Yes,22100,21.239232,81.646813
332,2 BHK Apartment in Civil Lines,Raipur,Civil Lines,Apartment,2,1150,2,Unfurnished,No,21600,21.255655,81.614637
333,2 BHK Apartment in Kachna,Raipur,Kachna,Apartment,2,1028,2,Furnished,Yes,19700,21.262702,81.6496
334,2 BHK Independent House in Kohka,Bhilai,Kohka,Independent House,2,1132,2,Semi-Furnished,Yes,8400,21.201746,81.387667
335,2 BHK Apartment in Sector 9,Bhilai,Sector 9,Apartment,2,1016,2,Semi-Furnished,Yes,11000,21.186456,81.332403
336,2 BHK Independent House in Sarona,Raipur,Sarona,Independent House,2,1129,1,Semi-Furnished,Yes,19600,21.232817,81.592942
337,4 BHK Apartment in Magneto Mall Area,Raipur,Magneto Mall Area,Apartment,4,1720,4,Furnished,Yes,38300,21.244872,81.655924
338,2 BHK Apartment in Pandri,Raipur,Pandri,Apartment,2,775,2,Semi-Furnished,Yes,15500,21.253304,81.630442
339,2 BHK Independent House in Civic Centre,Bhilai,Civic Centre,Independent House,2,1035,2,Semi-Furnished,Yes,12500,21.19409,81.280511
340,2 BHK Independent House in Sarona,Raipur,Sarona,Independent House,2,1147,2,Semi-Furnished,Yes,17900,21.226154,81.604825
341,2 BHK Apartment in Sector 9,Bhilai,Sector 9,Apartment,2,997,2,Unfurnished,Yes,9200,21.186311,81.323685
342,2 BHK Apartment in Shankar Nagar,Raipur,Shankar Nagar,Apartment,2,1029,2,Semi-Furnished,Yes,23900,21.255541,81.624155
343,3 BHK Independent House in Naya Raipur,Raipur,Naya Raipur,Independent House,3,1348,3,Unfurnished,No,22700,21.167913,81.782197
344,3 BHK Apartment in Sarona,Raipur,Sarona,Apartment,3,1770,3,Semi-Furnished,Yes,28700,21.232234,81.598073
345,2 BHK Independent House in Sarona,Raipur,Sarona,Independent House,2,758,2,Unfurnished,Yes,10700,21.229517,81.594632
346,3 BHK Apartment in Sector 9,Bhilai,Sector 9,Apartment,3,1250,2,Unfurnished,Yes,14200,21.18999,81.332018
347,2 BHK Independent House in Shankar Nagar,Raipur,Shankar Nagar,Independent House,2,1193,1,Unfurnished,Yes,24000,21.249323,81.624952
348,1 BHK Apartment in Pandri,Raipur,Pandri,Apartment,1,575,1,Furnished,Yes,11800,21.251819,81.637389
349,3 BHK Apartment in Vidhan Sabha Road,Raipur,Vidhan Sabha Road,Apartment,3,1715,3,Furnished,Yes,35600,21.255284,81.614152
350,3 BHK Apartment in Shankar Nagar,Raipur,Shankar Nagar,Apartment,3,1532,2,Unfurnished,Yes,30700,21.25238,81.633056
351,1 BHK Apartment in Nehru Nagar,Bhilai,Nehru Nagar,Apartment,1,619,1,Unfurnished,Yes,5700,21.186978,81.346844
352,3 BHK Apartment in Avanti Vihar,Raipur,Avanti Vihar,Apartment,3,1742,3,Semi-Furnished,Yes,35700,21.241388,81.65494
353,3 BHK Apartment in Telibandha,Raipur,Telibandha,Apartment,3,1269,3,Furnished,Yes,33700,21.24257,81.664108
354,2 BHK Apartment in Nehru Nagar,Bhilai,Nehru Nagar,Apartment,2,828,2,Unfurnished,Yes,7600,21.18932,81.35249
355,2 BHK Apartment in Vidhan Sabha Road,Raipur,Vidhan Sabha Road,Apartment,2,1054,1,Furnished,No,20200,21.260773,81.615094
356,3 BHK Apartment in Saddu,Raipur,Saddu,Apartment,3,1417,3,Unfurnished,Yes,22900,21.267224,81.668959
357,3 BHK Independent House in Kachna,Raipur,Kachna,Independent House,3,1754,3,Semi-Furnished,Yes,34900,21.263856,81.64925
358,1 BHK Apartment in Kabir Nagar,Raipur,Kabir Nagar,Apartment,1,529,1,Furnished,Yes,11700,21.24962,81.621367
359,2 BHK Apartment in Kabir Nagar,Raipur,Kabir Nagar,Apartment,2,791,2,Unfurnished,Yes,12900,21.239863,81.621741
360,3 BHK Apartment in Katora Talab,Raipur,Katora Talab,Apartment,3,1726,3,Semi-Furnished,Yes,28800,21.24777,81.622354
361,3 BHK Apartment in Shanti Nagar,Bhilai,Shanti Nagar,Apartment,3,1523,3,Furnished,Yes,13800,21.194826,81.365102
362,1 BHK Apartment in Civic Centre,Bhilai,Civic Centre,Apartment,1,647,1,Unfurnished,Yes,6700,21.18674,81.290734
363,2 BHK Apartment in Avanti Vihar,Raipur,Avanti Vihar,Apartment,2,1001,2,Unfurnished,Yes,19000,21.233399,81.651505
364,2 BHK Apartment in Supela,Bhilai,Supela,Apartment,2,1133,1,Unfurnished,Yes,9700,21.198077,81.310229
365,2 BHK Apartment in Avanti Vihar,Raipur,Avanti Vihar,Apartment,2,811,2,Unfurnished,Yes,15600,21.231462,81.645662
366,2 BHK Apartment in Civic Centre,Bhilai,Civic Centre,Apartment,2,869,2,Unfurnished,Yes,10300,21.194248,81.288077
367,2 BHK Independent House in Magneto Mall Area,Raipur,Magneto Mall Area,Independent House,2,1077,2,Unfurnished,Yes,19700,21.242975,81.652021
368,4 BHK Apartment in Kabir Nagar,Raipur,Kabir Nagar,Apartment,4,2237,4,Unfurnished,No,34500,21.238063,81.618646
369,3 BHK Apartment in Avanti Vihar,Raipur,Avanti Vihar,Apartment,3,1605,3,Semi-Furnished,No,32000,21.238159,81.642614
370,3 BHK Apartment in Civil Lines,Raipur,Civil Lines,Apartment,3,1520,3,Semi-Furnished,No,30800,21.248142,81.606329
371,4 BHK Independent House in Sector 7,Bhilai,Sector 7,Independent House,4,1752,4,Unfurnished,No,18500,21.187856,81.337035
372,1 BHK Independent House in Naya Raipur,Raipur,Naya Raipur,Independent House,1,564,1,Semi-Furnished,No,12300,21.159693,81.779588
373,3 BHK Apartment in Mowa,Raipur,Mowa,Apartment,3,1577,3,Furnished,No,29400,21.266111,81.69956
374,2 BHK Apartment in Shanti Nagar,Bhilai,Shanti Nagar,Apartment,2,1063,2,Unfurnished,Yes,8000,21.201248,81.364567
375,3 BHK Apartment in Junwani,Bhilai,Junwani,Apartment,3,1454,3,Furnished,Yes,16700,21.209673,81.367694
376,4 BHK Independent House in Sarona,Raipur,Sarona,Independent House,4,1962,4,Unfurnished,No,28200,21.224291,81.601856
377,2 BHK Apartment in Maitri Nagar,Bhilai,Maitri Nagar,Apartment,2,837,2,Semi-Furnished,Yes,11400,21.189735,81.355118
378,1 BHK Apartment in Mowa,Raipur,Mowa,Apartment,1,578,1,Unfurnished,Yes,10100,21.268602,81.698883
379,3 BHK Apartment in Risali,Bhilai,Risali,Apartment,3,1500,2,Semi-Furnished,No,19600,21.181934,81.351249
380,2 BHK Apartment in Sector 7,Bhilai,Sector 7,Apartment,2,1133,2,Semi-Furnished,Yes,12100,21.185775,81.333133
381,1 BHK Apartment in Civil Lines,Raipur,Civil Lines,Apartment,1,479,1,Semi-Furnished,No,10100,21.251245,81.606431
382,1 BHK Independent House in Mowa,Raipur,Mowa,Independent House,1,604,1,Furnished,Yes,13500,21.272383,81.692571
383,2 BHK Apartment in Vidhan Sabha Road,Raipur,Vidhan Sabha Road,Apartment,2,950,1,Semi-Furnished,No,19000,21.247926,81.607379
384,4 BHK Apartment in Nehru Nagar,Bhilai,Nehru Nagar,Apartment,4,2332,4,Semi-Furnished,Yes,20600,21.195152,81.342875
385,2 BHK Independent House in Risali,Bhilai,Risali,Independent House,2,1051,2,Unfurnished,Yes,11400,21.190061,81.357381
386,4 BHK Independent House in Telibandha,Raipur,Telibandha,Independent House,4,2383,4,Unfurnished,Yes,52600,21.246755,81.668755
387,4 BHK Apartment in Junwani,Bhilai,Junwani,Apartment,4,2248,4,Semi-Furnished,Yes,18700,21.211047,81.36887
388,3 BHK Apartment in Telibandha,Raipur,Telibandha,Apartment,3,1153,3,Semi-Furnished,No,24400,21.245168,81.668694
389,3 BHK Apartment in Maitri Nagar,Bhilai,Maitri Nagar,Apartment,3,1703,3,Furnished,No,23300,21.190768,81.35467
390,3 BHK Apartment in Shanti Nagar,Bhilai,Shanti Nagar,Apartment,3,1760,3,Furnished,No,18100,21.202766,81.361535
391,2 BHK Apartment in Avanti Vihar,Raipur,Avanti Vihar,Apartment,2,800,2,Unfurnished,Yes,13600,21.237332,81.644705
392,2 BHK Apartment in Supela,Bhilai,Supela,Apartment,2,933,2,Furnished,No,8100,21.187162,81.308847
393,1 BHK Apartment in Smriti Nagar,Bhilai,Smriti Nagar,Apartment,1,578,1,Unfurnished,Yes,4000,21.207415,81.384532
394,1 BHK Independent House in Risali,Bhilai,Risali,Independent House,1,645,1,Semi-Furnished,No,9200,21.181218,81.35168
395,2 BHK Apartment in Nehru Nagar,Bhilai,Nehru Nagar,Apartment,2,857,2,Semi-Furnished,No,7100,21.194832,81.352936
396,4 BHK Independent House in Pandri,Raipur,Pandri,Independent House,4,2274,4,Semi-Furnished,Yes,50300,21.263357,81.63422
397,1 BHK Apartment in Nehru Nagar,Bhilai,Nehru Nagar,Apartment,1,649,1,Furnished,Yes,7400,21.200637,81.347026
398,2 BHK Apartment in Supela,Bhilai,Supela,Apartment,2,940,2,Semi-Furnished,Yes,7200,21.19575,81.316085
399,2 BHK Independent House in Kohka,Bhilai,Kohka,Independent House,2,867,2,Furnished,Yes,6900,21.210815,81.387972
400,2 BHK Independent House in Risali,Bhilai,Risali,Independent House,2,1093,2,Unfurnished,Yes,13700,21.184008,81.354792
401,2 BHK Apartment in Magneto Mall Area,Raipur,Magneto Mall Area,Apartment,2,1065,2,Furnished,No,24100,21.242016,81.65535
402,2 BHK Apartment in Power House,Bhilai,Power House,Apartment,2,775,2,Unfurnished,Yes,7300,21.203886,81.313558
403,2 BHK Apartment in Devendra Nagar,Raipur,Devendra Nagar,Apartment,2,879,2,Furnished,Yes,19800,21.25971,81.643723
404,3 BHK Apartment in Shankar Nagar,Raipur,Shankar Nagar,Apartment,3,1579,3,Semi-Furnished,Yes,36600,21.255414,81.633898
405,2 BHK Apartment in Power House,Bhilai,Power House,Apartment,2,837,1,Unfurnished,Yes,7000,21.209239,81.326523
406,2 BHK Apartment in Kabir Nagar,Raipur,Kabir Nagar,Apartment,2,1160,2,Unfurnished,Yes,17700,21.252749,81.621782
407,2 BHK Apartment in Kohka,Bhilai,Kohka,Apartment,2,1149,2,Semi-Furnished,Yes,8000,21.197746,81.395258
408,2 BHK Independent House in Sector 7,Bhilai,Sector 7,Independent House,2,1146,2,Semi-Furnished,Yes,13300,21.196669,81.343339
409,1 BHK Apartment in Civic Centre,Bhilai,Civic Centre,Apartment,1,574,1,Semi-Furnished,Yes,7200,21.191198,81.281679
410,3 BHK Independent House in Naya Raipur,Raipur,Naya Raipur,Independent House,3,1284,2,Furnished,Yes,30900,21.166301,81.780107
411,4 BHK Apartment in Risali,Bhilai,Risali,Apartment,4,2104,4,Semi-Furnished,Yes,24100,21.181901,81.350623
412,2 BHK Apartment in Magneto Mall Area,Raipur,Magneto Mall Area,Apartment,2,1146,2,Semi-Furnished,Yes,21700,21.240302,81.657576
413,3 BHK Apartment in Supela,Bhilai,Supela,Apartment,3,1136,3,Semi-Furnished,Yes,9700,21.198158,81.321304
414,3 BHK Apartment in Devendra Nagar,Raipur,Devendra Nagar,Apartment,3,1573,3,Unfurnished,Yes,30200,21.253907,81.64536
415,3 BHK Apartment in Telibandha,Raipur,Telibandha,Apartment,3,1577,3,Unfurnished,Yes,33800,21.242445,81.664628
416,2 BHK Apartment in Sarona,Raipur,Sarona,Apartment,2,1157,2,Unfurnished,Yes,15200,21.23463,81.606545
